user ID,하드웨어를 처음 사용할 때 쉽게 사용할 수 있었다. ,하드웨어의 각 기능은 명확하게 표시되어 있었다.  ,하드웨어의 다양한 기능들이 일관성 있게 작동했다. ,"하드웨어의 기능이 충분하여, 운동을 수행할 때 불편함이 없었다. ",하드웨어의 다양한 기능 중 불필요한 기능은 없이 모두 쓸모가 있었다. ,하드웨어 사용 중 원하는 기능을 빠르게 수행할 수 있었다. ,하드웨어 사용 중 원하는 기능을 정교히 맞출 수 있었다. ,하드웨어 사용 중 발생하는 오류를 쉽게 해결할 수 있었다. ,하드웨어 사용 중 문제가 발생했을 때 제공된 지원이 효과적이었다. ,하드웨어의 물리적 디자인(발판/발목)이 편리하게 설계되어 있다. ,하드웨어의 물리적 디자인(무릎관절)이 편리하게 설계되어 있다. ,하드웨어의 물리적 디자인(엉덩이관절)이 편리하게 설계되어 있다. ,하드웨어의 물리적 디자인(앉은 자세/상체)이 편리하게 설계되어 있다. ,하드웨어의 물리적 디자인(손잡이)이 편리하게 설계되어 있다. ,하드웨어의 물리적 디자인(목-모니터시야 처리)이 편리하게 설계되어 있다. ,하드웨어의 버튼 및 조작부가 사용하기 편리한 위치에 있다. ,하드웨어의 크기와 무게가 적절하여 사용하기 편리했다. ,하드웨어를 사용하는 것이 전반적으로 만족스러웠다. ,하드웨어를 향후 계속할 사용할 의향이 있다. ,하드웨어를 다른 사람들에게 추천할 의향이 있다. ,
1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
2,4,4,3,1,4,1,1,5,3,2,2,5,3,5,5,6,5,1,1,2,
3,4,4,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,
4,3,3,3,3,2,2,2,2,3,2,2,3,4,2,4,4,3,3,4,3,
5,5,5,3,3,4,2,2,4,4,4,4,4,4,4,4,3,4,4,2,2,
6,5,5,5,5,6,5,4,4,4,6,6,6,6,6,4,6,5,5,4,4,
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
8,3,4,4,2,4,4,2,3,4,1,4,4,3,3,3,4,4,3,3,3,
9,6,6,6,6,5,4,3,6,7,7,6,6,6,6,6,6,6,6,5,6,
10,5,6,6,6,6,3,2,4,6,6,6,6,6,6,6,4,6,6,6,6,
11,4,3,4,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,3,3,
12,3,3,2,1,2,3,2,1,3,1,4,4,2,5,2,4,4,2,2,2,
13,3,3,3,4,4,4,3,4,5,4,4,5,5,5,5,5,5,4,5,5,
14,7,4,4,7,4,4,4,1,4,3,3,3,3,3,3,5,4,4,4,4,
15,6,4,5,6,4,3,2,4,4,4,4,3,3,5,6,5,2,5,4,5,
16,5,5,2,5,4,2,1,3,4,5,6,5,5,7,5,6,5,5,3,5,
